OBJECTID,Year,FedID,CDCode,CDSCode,CountyName,DistrictName,DistrictType,GradeLow,GradeHigh,GradeLowCensus,GradeHighCensus,AssistStatus,CongressUS,SenateCA,AssemblyCA,LocaleDistrict,UpdateNotes,EnrollTotal,EnrollCharter,EnrollNonCharter,AAcount,AApct,AIcount,AIpct,AScount,ASpct,FIcount,FIpct,HIcount,HIpct,PIcount,PIpct,WHcount,WHpct,MRcount,MRpct,NRcount,NRpct,ELcount,ELpct,FOScount,FOSpct,HOMcount,HOMpct,MIGcount,MIGpct,SWDcount,SWDpct,SEDcount,SEDpct,DistrctAreaSqMi,Shape__Area,Shape__Length
1,2022-23,0601770,0161119,01611190000000,Alameda,Alameda Unified,Unified,KG,12,KG,12,Differentiated Assistance,13,09,18,"21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,10359,1529,8830,691,6.7,20,0.2,2585,25,511,4.9,1813,17.5,58,0.6,2845,27.5,1514,14.6,322,3.1,1030,9.9,22,0.2,78,0.8,0,0,1277,12.3,3765,36.3,11.4555701298887,47554894.2539063,56522.9826830263
2,2022-23,0601860,0161127,01611270000000,Alameda,Albany City Unified,Unified,KG,12,KG,12,General Assistance,13,09,15,"21 - Suburban, Large",,3529,0,3529,124,3.5,11,0.3,978,27.7,41,1.2,599,17,4,0.1,914,25.9,482,13.7,376,10.7,453,12.8,5,0.1,9,0.3,0,0,307,8.7,1009,28.6,1.70365433076853,7096327.46484375,12696.3827974513
3,2022-23,0604740,0161143,01611430000000,Alameda,Berkeley Unified,Unified,KG,12,KG,12,Differentiated Assistance,13,09,15,"12 - City, Midsize ",,9073,0,9073,1065,11.7,26,0.3,744,8.2,73,0.8,1980,21.8,15,0.2,3782,41.7,1366,15.1,22,0.2,660,7.3,16,0.2,137,1.5,0,0,1076,11.9,2390,26.3,10.4833621756922,43646483.9492188,43695.3415383838
4,2022-23,0607800,0161150,01611500000000,Alameda,Castro Valley Unified,Unified,KG,12,KG,12,Differentiated Assistance,"13,15","07,09,10","18,20","21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,9207,0,9207,414,4.5,7,0.1,2933,31.9,415,4.5,2210,24,40,0.4,1962,21.3,927,10.1,299,3.2,1172,12.7,11,0.1,110,1.2,0,0,931,10.1,3270,35.5,68.442603560811,283828532.914063,142492.767564508
5,2022-23,0612630,0161168,01611680000000,Alameda,Emery Unified,Unified,KG,12,KG,12,Differentiated Assistance,13,09,15,"21 - Suburban, Large",,627,0,627,281,44.8,2,0.3,63,10,5,0.8,128,20.4,6,1,73,11.6,55,8.8,14,2.2,118,18.8,3,0.5,2,0.3,0,0,79,12.6,395,63,1.2894155559776,5363392.45703125,13741.2728937254
6,2022-23,0614400,0161176,01611760000000,Alameda,Fremont Unified,Unified,KG,12,KG,12,Differentiated Assistance,"15,17",10,"20,25","21 - Suburban, Large",,33107,401,32706,625,1.9,105,0.3,21602,65.2,1422,4.3,5178,15.6,177,0.5,2636,8,1097,3.3,265,0.8,5107,15.4,20,0.1,178,0.5,40,0.1,3181,9.6,7594,22.9,77.8192883012293,321018983.757813,163452.273562606
7,2022-23,0616740,0161192,01611920000000,Alameda,Hayward Unified,Unified,KG,12,KG,12,Differentiated Assistance,15,10,20,"21 - Suburban, Large",SY 2018-19 Boundary Adjustment/Correction,20517,2524,17993,1411,6.9,42,0.2,1733,8.4,1350,6.6,13504,65.8,638,3.1,855,4.2,861,4.2,123,0.6,5991,29.2,49,0.2,420,2,377,1.8,2537,12.4,14670,71.5,34.3115916831865,141981818.476563,82372.3100621388
8,2022-23,0622110,0161200,01612000000000,Alameda,Livermore Valley Joint Unified,Unified,KG,12,KG,12,Differentiated Assistance,"11,15",07,"14,16,20","13 - City, Small",SY 2018-19 Boundary Adjustment/Correction,12956,0,12956,186,1.4,41,0.3,1740,13.4,356,2.7,4178,32.2,28,0.2,5314,41,1112,8.6,1,0,1249,9.6,23,0.2,143,1.1,123,0.9,1940,15,4082,31.5,266.757604000489,1103915430.32422,206081.113756893
9,2022-23,0626130,0161218,01612180000000,Alameda,Mountain House Elementary,Elementary,KG,08,KG,08,General Assistance,15,07,16,"41 - Rural, Fringe",SY 2018-19 Boundary Adjustment/Correction,21,0,21,0,0,0,0,0,0,0,0,16,76.2,3,14.3,2,9.5,0,0,0,0,7,33.3,0,0,0,0,0,0,1,4.8,16,76.2,30.0797396527446,124796628.925781,55768.4684652416
10,2022-23,0627060,0161234,01612340000000,Alameda,Newark Unified,Unified,KG,12,KG,12,Differentiated Assistance,17,10,25,"21 - Suburban, Large",,4955,0,4955,133,2.7,15,0.3,855,17.3,411,8.3,2575,52,104,2.1,460,9.3,283,5.7,119,2.4,1111,22.4,9,0.2,172,3.5,33,0.7,716,14.5,2156,43.5,14.0984188336274,58146582.9882813,39693.1048625914
